best_part,omg,f,sum_veloc,c2,c1,mean_fit,best_fit
12559.197627320673,0.722262078897832,0.5235289354254397,138.93508184144756,2.5,1.5,376908.56245393655,12555.38936724005
12558.709648023982,0.7049576753284054,0.49095540561983525,-558.5277467416324,2.0173274174835667,1.7988430538246927,376906.34259083593,12555.38936724005
12557.930628327886,0.8141344888854483,0.7240643563723159,-437.5171350247601,2.5,1.5,376902.66338253045,12555.38936724005
12559.448869778873,0.7661728738991168,0.6124195659026108,294.7671816497834,2.5,1.5,376899.301136012,12555.38936724005
12556.454046390088,0.8382503872156487,0.788743236893842,402.28211799699085,2.5,1.5,376899.301136012,12555.38936724005
12559.785777969113,0.8366998700243107,0.7843618231378465,-479.8414707209226,2.5,1.5,376895.2004742059,12555.38936724005
12560.96340431935,0.8325783669980336,0.7728758003677525,-341.1192930858057,2.5,1.5,376894.22139399726,12555.38936724005
12558.003050334884,0.7610852764781745,0.6015783981636366,353.4395571693626,2.5,1.5,376889.3967766762,12555.38936724005
12554.924763968287,0.8093959629793492,0.7121366081846076,-327.0823947159309,2.5,1.5,376888.93217340444,12554.924763968287
12556.259476567951,0.7693253591521522,0.6192195559458243,-264.7391698446925,2.5,1.5,376888.7264644361,12554.924763968287
12558.32266663884,0.8180522147205962,0.7341044319249552,-197.51497041843672,2.5,1.5,376888.6794001608,12554.924763968287
12558.331632501946,0.8374381573527785,0.7864438567715419,-608.7522034133094,2.5,1.5,376888.6794001608,12554.924763968287
12556.068942860811,0.7775403062906622,0.6372517916838477,-501.21132242704806,2.5,1.5,376888.6794001608,12554.924763968287
12558.100338574,0.7688944452336938,0.6182862510092236,390.8893526150571,2.5,1.5,376888.6794001608,12554.924763968287
12558.691503232374,0.7987057156016467,0.6860345120557049,3.7902968970605415,2.5,1.5,376888.6794001608,12554.924763968287
12556.02756991616,0.7300537011632571,0.5386000602934794,307.332394628771,2.5,1.5,376888.6794001608,12554.924763968287
12557.073402215241,0.776579111370274,0.6351177853743772,61.30210485758053,2.5,1.5,376888.6794001608,12554.924763968287
12556.944740645837,0.8195107964082368,0.7378852763469125,4.444841646124526,2.5,1.5,376888.6794001608,12554.924763968287
12558.12770205841,0.826083538658456,0.7552253600815159,504.5178874597233,2.5,1.5,376888.6794001608,12554.924763968287
12557.07206192488,0.812418171388627,0.7197173598597082,-263.343733330316,2.5,1.5,376888.6794001608,12554.924763968287
12556.121760178561,0.832972642787474,0.7739647281921732,-560.3573376119764,2.5518932764971134,1.259246119560343,376888.6794001608,12554.924763968287
12558.359237931689,0.836155721252938,0.7828321216840353,449.64396917368083,2.9477165874170743,1.0307677435735199,376888.6794001608,12554.924763968287
12557.593688798699,0.8187118565954267,0.735811380247663,216.33229905195498,2.5,1.5,376888.6794001608,12554.924763968287
12557.879983810144,0.7949138323898646,0.6770263882027306,-362.89924648552466,2.5,1.5,376888.6794001608,12554.924763968287
12553.825386412236,0.8272392051552956,0.7583273295423855,-196.0699416332764,2.5,1.5,376887.5800226048,12553.825386412236
12557.597436279191,0.8210763485938963,0.7419700082600038,-162.19674267155682,2.5,1.5,376887.5800226048,12553.825386412236
12555.769141734116,0.8116800142592835,0.7178572045002183,58.301247780568104,2.5,1.5,376887.5800226048,12553.825386412236
12555.36306327315,0.7162776007081872,0.5121294682956291,173.72063859887945,2.5,1.5,376887.5800226048,12553.825386412236
